Alpha,Beta,Preserves Length,,X Gate Alpha,X Gate Beta,Preserves Length,,H Gate Alpha,H Gate Beta,Preserves Length
1,0,1,,0,1,1,,0.7071067812,0.7071067812,1
0.99,0.1410673598,1,,0.1410673598,0.99,1,,0.7997854001,0.6002860267,1
0.98,0.1989974874,1,,0.1989974874,0.98,1,,0.8336771184,0.5522521728,1
0.97,0.2431049156,1,,0.2431049156,0.97,1,,0.8577947121,0.5139924434,1
0.96,0.28,1,,0.28,0.96,1,,0.8768124087,0.4808326112,1
0.95,0.3122498999,1,,0.3122498999,0.95,1,,0.8925454638,0.4509574205,1
0.94,0.3411744422,1,,0.3411744422,0.94,1,,0.905927136,0.4234336127,1
0.93,0.367559519,1,,0.367559519,0.93,1,,0.9175131349,0.3977054781,1
0.92,0.3919183588,1,,0.3919183588,0.92,1,,0.9276663679,0.3734101095,1
0.91,0.4146082488,1,,0.4146082488,0.91,1,,0.9366394752,0.3502948666,1
0.9,0.4358898944,1,,0.4358898944,0.9,1,,0.9446168032,0.3281754029,1
0.89,0.4559605246,1,,0.4559605246,0.89,1,,0.9517378142,0.3069122564,1
0.88,0.4749736835,1,,0.4749736835,0.88,1,,0.9581110799,0.286396855,1
0.87,0.4930517214,1,,0.4930517214,0.87,1,,0.9638231153,0.2665426839,1
0.86,0.5102940329,1,,0.5102940329,0.86,1,,0.9689442029,0.2472794608,1
0.85,0.5267826876,1,,0.5267826876,0.85,1,,0.9735323747,0.2285491534,1
0.84,0.5425863987,1,,0.5425863987,0.84,1,,0.9776362181,0.2103031743,1
0.83,0.5577633907,1,,0.5577633907,0.83,1,,0.9812969042,0.1925003525,1
0.82,0.5723635209,1,,0.5723635209,0.82,1,,0.9845496875,0.1751054337,1
0.81,0.5864298765,1,,0.5864298765,0.81,1,,0.9874250351,0.1580879504,1
0.8,0.6,1,,0.6,0.8,1,,0.9899494937,0.1414213562,1
0.79,0.6131068422,1,,0.6131068422,0.79,1,,0.9921463629,0.1250823514,1
0.78,0.6257795139,1,,0.6257795139,0.78,1,,0.9940362271,0.1090503515,1
0.77,0.6380438856,1,,0.6380438856,0.77,1,,0.9956373797,0.09330706328,1
0.76,0.6499230724,1,,0.6499230724,0.76,1,,0.9969661654,0.07783614198,1
0.75,0.6614378278,1,,0.6614378278,0.75,1,,0.9980372592,0.06262291254,1
0.74,0.6726068688,1,,0.6726068688,0.74,1,,0.9988638961,0.04765414005,1
0.73,0.683447145,1,,0.683447145,0.73,1,,0.9994580611,0.03291783946,1
0.72,0.6939740629,1,,0.6939740629,0.72,1,,0.9998306483,0.0184031166,1
0.71,0.7042016757,1,,0.7042016757,0.71,1,,0.9999915948,0.004100034462,1
0.7,0.7141428429,1,,0.7141428429,0.7,1,,0.9999499937,-0.01000050009,1
0.69,0.7238093672,1,,0.7238093672,0.69,1,,0.9997141908,-0.02390683279,1
0.68,0.7332121112,1,,0.7332121112,0.68,1,,0.9992918671,-0.03762664467,1
0.67,0.7423610981,1,,0.7423610981,0.67,1,,0.99869011,-0.05116702317,1
0.66,0.7512655988,1,,0.7512655988,0.66,1,,0.997915475,-0.06453452383,1
0.65,0.7599342077,1,,0.7599342077,0.65,1,,0.9969740393,-0.07773522373,1
0.64,0.7683749085,1,,0.7683749085,0.64,1,,0.9958714482,-0.09077476833,1
0.63,0.7765951326,1,,0.7765951326,0.63,1,,0.9946129567,-0.1036584124,1
0.62,0.7846018098,1,,0.7846018098,0.62,1,,0.9932034646,-0.1163910559,1
0.61,0.7924014134,1,,0.7924014134,0.61,1,,0.9916475494,-0.1289772763,1
0.6,0.8,1,,0.8,0.6,1,,0.9899494937,-0.1414213562,1
0.59,0.807403245,1,,0.807403245,0.59,1,,0.9881133106,-0.1537273088,1
0.58,0.8146164742,1,,0.8146164742,0.58,1,,0.986142766,-0.1658988999,1
0.57,0.8216446921,1,,0.8216446921,0.57,1,,0.9840413988,-0.1779396682,1
0.56,0.8284926071,1,,0.8284926071,0.56,1,,0.9818125381,-0.1898529432,1
0.55,0.8351646544,1,,0.8351646544,0.55,1,,0.9794593202,-0.2016418609,1
0.54,0.8416650165,1,,0.8416650165,0.54,1,,0.9769847025,-0.2133093788,1
0.53,0.8479976415,1,,0.8479976415,0.53,1,,0.9743914768,-0.2248582887,1
0.52,0.8541662602,1,,0.8541662602,0.52,1,,0.971682281,-0.2362912286,1
0.51,0.8601744009,1,,0.8601744009,0.51,1,,0.9688596103,-0.2476106935,1
0.5,0.8660254038,1,,0.8660254038,0.5,1,,0.9659258263,-0.2588190451,1
0.49,0.8717224329,1,,0.8717224329,0.49,1,,0.9628831664,-0.2699185208,1
0.48,0.877268488,1,,0.877268488,0.48,1,,0.9597337517,-0.2809112418,1
0.47,0.8826664149,1,,0.8826664149,0.47,1,,0.9564795947,-0.2917992203,1
0.46,0.8879189152,1,,0.8879189152,0.46,1,,0.9531226054,-0.3025843667,1
0.45,0.893028555,1,,0.893028555,0.45,1,,0.9496645985,-0.3132684955,1
0.44,0.8979977728,1,,0.8979977728,0.44,1,,0.9461072984,-0.3238533309,1
0.43,0.9028288874,1,,0.9028288874,0.43,1,,0.9424523445,-0.3343405127,1
0.42,0.9075241044,1,,0.9075241044,0.42,1,,0.9387012964,-0.3447316002,1
0.41,0.9120855223,1,,0.9120855223,0.41,1,,0.9348556381,-0.3550280776,1
0.4,0.916515139,1,,0.916515139,0.4,1,,0.9309167823,-0.3652313574,1
0.39,0.9208148565,1,,0.9208148565,0.39,1,,0.9268860739,-0.3753427846,1
0.38,0.9249864864,1,,0.9249864864,0.38,1,,0.9227647939,-0.3853636402,1
0.37,0.929031754,1,,0.929031754,0.37,1,,0.9185541623,-0.3952951442,1
0.36,0.9329523032,1,,0.9329523032,0.36,1,,0.9142553413,-0.4051384589,1
0.35,0.9367496998,1,,0.9367496998,0.35,1,,0.9098694384,-0.4148946916,1
0.34,0.9404254356,1,,0.9404254356,0.34,1,,0.9053975083,-0.4245648971,1
0.33,0.943980932,1,,0.943980932,0.33,1,,0.9008405561,-0.4341500805,1
0.32,0.9474175426,1,,0.9474175426,0.32,1,,0.896199539,-0.443651199,1
0.31,0.9507365566,1,,0.9507365566,0.31,1,,0.8914753684,-0.4530691641,1
0.3,0.9539392014,1,,0.9539392014,0.3,1,,0.8866689125,-0.4624048438,1
0.29,0.9570266454,1,,0.9570266454,0.29,1,,0.8817809973,-0.4716590642,1
0.28,0.96,1,,0.96,0.28,1,,0.8768124087,-0.4808326112,1
0.27,0.9628603222,1,,0.9628603222,0.27,1,,0.8717638941,-0.4899262322,1
0.26,0.9656086164,1,,0.9656086164,0.26,1,,0.8666361637,-0.4989406375,1
0.25,0.9682458366,1,,0.9682458366,0.25,1,,0.8614298922,-0.5078765016,1
0.24,0.970772888,1,,0.970772888,0.24,1,,0.8561457196,-0.5167344646,1
0.23,0.9731906288,1,,0.9731906288,0.23,1,,0.8507842527,-0.5255151333,1
0.22,0.9754998719,1,,0.9754998719,0.22,1,,0.8453460663,-0.5342190826,1
0.21,0.9777013859,1,,0.9777013859,0.21,1,,0.839831704,-0.5428468559,1
0.2,0.9797958971,1,,0.9797958971,0.2,1,,0.8342416793,-0.5513989668,1
0.19,0.9817840903,1,,0.9817840903,0.19,1,,0.8285764763,-0.5598758995,1
0.18,0.9836666102,1,,0.9836666102,0.18,1,,0.8228365511,-0.5682781099,1
0.17,0.9854440623,1,,0.9854440623,0.17,1,,0.8170223318,-0.5766060262,1
0.16,0.9871170143,1,,0.9871170143,0.16,1,,0.8111342197,-0.5848600497,1
0.15,0.9886859967,1,,0.9886859967,0.15,1,,0.8051725899,-0.5930405555,1
0.14,0.9901515036,1,,0.9901515036,0.14,1,,0.7991377919,-0.6011478932,1
0.13,0.9915139938,1,,0.9915139938,0.13,1,,0.7930301502,-0.6091823871,1
0.12,0.9927738917,1,,0.9927738917,0.12,1,,0.7868499647,-0.6171443372,1
0.11,0.9939315872,1,,0.9939315872,0.11,1,,0.7805975113,-0.6250340194,1
0.1,0.9949874371,1,,0.9949874371,0.1,1,,0.7742730421,-0.6328516859,1
0.09,0.9959417654,1,,0.9959417654,0.09,1,,0.7678767863,-0.6405975657,1
0.08,0.9967948636,1,,0.9967948636,0.08,1,,0.76140895,-0.648271865,1
0.07,0.9975469914,1,,0.9975469914,0.07,1,,0.7548697168,-0.6558747675,1
0.06,0.9981983771,1,,0.9981983771,0.06,1,,0.7482592483,-0.6634064345,1
0.05,0.9987492178,1,,0.9987492178,0.05,1,,0.7415776837,-0.6708670055,1
0.04,0.9991996797,1,,0.9991996797,0.04,1,,0.7348251406,-0.6782565981,1
0.03,0.9995498987,1,,0.9995498987,0.03,1,,0.7280017149,-0.6855753081,1
0.02,0.99979998,1,,0.99979998,0.02,1,,0.7211074813,-0.6928232101,1
0.01,0.9999499987,1,,0.9999499987,0.01,1,,0.7141424928,-0.7000003572,1
0,1,1,,1,0,1,,0.7071067812,-0.7071067812,1